lga_name,lga_abbr,lga_code,lga_abs
Alpine Shire Council,Alpine,20110,Alpine
Ararat Rural City Council,Ararat,20260,Ararat
Ballarat City Council,Ballarat,20570,Ballarat
Banyule City Council,Banyule,20660,Banyule
Bass Coast Shire Council,Bass Coast,20740,Bass Coast
Baw Baw Shire Council,Baw Baw,20830,Baw Baw
Bayside City Council,Bayside,20910,Bayside (Vic.)
Benalla Rural City Council,Benalla,21010,Benalla
Boroondara City Council,Boroondara,21110,Boroondara
Brimbank City Council,Brimbank,21180,Brimbank
Buloke Shire Council,Buloke,21270,Buloke
Campaspe Shire Council,Campaspe,21370,Campaspe
Cardinia Shire Council,Cardinia,21450,Cardinia
Casey City Council,Casey,21610,Casey
Central Goldfields Shire Council,Central Goldfields,21670,Central Goldfields
Colac Otway Shire Council,Colac Otway,21750,Colac Otway
Corangamite Shire Council,Corangamite,21830,Corangamite
Darebin City Council,Darebin,21890,Darebin
East Gippsland Shire Council,East Gippsland,22110,East Gippsland
Frankston City Council,Frankston,22170,Frankston
Gannawarra Shire Council,Gannawarra,22250,Gannawarra
Glen Eira City Council,Glen Eira,22310,Glen Eira
Glenelg Shire Council,Glenelg,22410,Glenelg
Golden Plains Shire Council,Golden Plains,22490,Golden Plains
Greater Bendigo City Council,Greater Bendigo,22620,Greater Bendigo
Greater Dandenong City Council,Greater Dandenong,22670,Greater Dandenong
Greater Geelong City Council,Greater Geelong,22750,Greater Geelong
Greater Shepparton City Council,Greater Shepparton,22830,Greater Shepparton
Hepburn Shire Council,Hepburn,22910,Hepburn
Hindmarsh Shire Council,Hindmarsh,22980,Hindmarsh
Hobsons Bay City Council,Hobsons Bay,23110,Hobsons Bay
Horsham Rural City Council,Horsham,23190,Horsham
Hume City Council,Hume,23270,Hume
Indigo Shire Council,Indigo,23350,Indigo
Kingston City Council,Kingston,23430,Kingston (Vic.)
Knox City Council,Knox,23670,Knox
Latrobe City Council,Latrobe,23810,Latrobe (Vic.)
Loddon Shire Council,Loddon,23940,Loddon
Macedon Ranges Shire Council,Macedon Ranges,24130,Macedon Ranges
Manningham City Council,Manningham,24210,Manningham
Mansfield Shire Council,Mansfield,24250,Mansfield
Maribyrnong City Council,Maribyrnong,24330,Maribyrnong
Maroondah City Council,Maroondah,24410,Maroondah
Melbourne City Council,Melbourne,24600,Melbourne
Melton City Council,Melton,24650,Melton
Merri-bek City Council,Merri-bek,24700,Merri-bek
Mildura Rural City Council,Mildura,24780,Mildura
Mitchell Shire Council,Mitchell,24850,Mitchell
Moira Shire Council,Moira,24900,Moira
Monash City Council,Monash,24970,Monash
Moonee Valley City Council,Moonee Valley,25060,Moonee Valley
Moorabool Shire Council,Moorabool,25150,Moorabool
Mornington Peninsula Shire Council,Mornington Peninsula,25340,Mornington Peninsula
Mount Alexander Shire Council,Mount Alexander,25430,Mount Alexander
Moyne Shire Council,Moyne,25490,Moyne
Murrindindi Shire Council,Murrindindi,25620,Murrindindi
Nillumbik Shire Council,Nillumbik,25710,Nillumbik
Northern Grampians Shire Council,Northern Grampians,25810,Northern Grampians
Port Phillip City Council,Port Phillip,25900,Port Phillip
Pyrenees Shire Council,Pyrenees,25990,Pyrenees
Borough of Queenscliffe,Queenscliffe,26080,Queenscliffe
South Gippsland Shire Council,South Gippsland,26170,South Gippsland
Southern Grampians Shire Council,Southern Grampians,26260,Southern Grampians
Stonnington City Council,Stonnington,26350,Stonnington
Strathbogie Shire Council,Strathbogie,26430,Strathbogie
Surf Coast Shire Council,Surf Coast,26490,Surf Coast
Swan Hill Rural City Council,Swan Hill,26610,Swan Hill
Towong Shire Council,Towong,26670,Towong
Wangaratta Rural City Council,Wangaratta,26700,Wangaratta
Warrnambool City Council,Warrnambool,26730,Warrnambool
Wellington Shire Council,Wellington,26810,Wellington
West Wimmera Shire Council,West Wimmera,26890,West Wimmera
Whitehorse City Council,Whitehorse,26980,Whitehorse
Whittlesea City Council,Whittlesea,27070,Whittlesea
Wodonga City Council,Wodonga,27170,Wodonga
Wyndham City Council,Wyndham,27260,Wyndham
Yarra City Council,Yarra,27350,Yarra
Yarra Ranges Shire Council,Yarra Ranges,27450,Yarra Ranges
Yarriambiack Shire Council,Yarriambiack,27630,Yarriambiack
